easting,northing,magnetic_anomaly,extra_coord
-324002.1391350907,4175067.7995107956,30.66767678928267,1500.0
-324002.1391350907,4175567.6219170215,30.405465164441825,1500.0
-324002.1391350907,4176067.4443232478,30.265084562786942,1500.0
-324002.1391350907,4176567.2667294736,30.310932379382642,1500.0
-324002.1391350907,4177067.0891356994,30.66966228161676,1500.0
-324002.1391350907,4177566.9115419257,31.801220827815712,1500.0
-324002.1391350907,4178066.7339481516,34.76102469666317,1500.0
-324002.1391350907,4178566.5563543774,41.06469018297354,1500.0
-324002.1391350907,4179066.3787606033,51.619916242963534,1500.0
-324002.1391350907,4179566.2011668296,65.1312549068385,1500.0
-324002.1391350907,4180066.0235730554,78.12963704418951,1500.0
-324002.1391350907,4180565.8459792812,87.00490176949583,1500.0
-324002.1391350907,4181065.6683855075,90.0510948436429,1500.0
-324002.1391350907,4181565.4907917334,87.98747667776767,1500.0
-324002.1391350907,4182065.313197959,82.78201813963213,1500.0
-324002.1391350907,4182565.1356041855,76.16730919789082,1500.0
-324002.1391350907,4183064.9580104114,69.12747216451595,1500.0
-324002.1391350907,4183564.780416637,62.16546415246839,1500.0
-324002.1391350907,4184064.6028228635,55.64477510127507,1500.0
-324002.1391350907,4184564.4252290893,49.95601439263959,1500.0
-324002.1391350907,4185064.247635315,45.39767779269445,1500.0
-324002.1391350907,4185564.070041541,41.849749256310176,1500.0
-324002.1391350907,4186063.8924477673,38.745867241391686,1500.0
-324002.1391350907,4186563.714853993,35.44419660737228,1500.0
-324002.1391350907,4187063.537260219,31.541023585196776,1500.0
-324002.1391350907,4187563.3596664453,26.925203742321756,1500.0
-324002.1391350907,4188063.182072671,21.687617431422908,1500.0
-324002.1391350907,4188563.004478897,15.995937271093725,1500.0
-324002.1391350907,4189062.8268851233,9.972574971667417,1500.0
-324002.1391350907,4189562.649291349,3.6172062148294386,1500.0
-324002.1391350907,4190062.471697575,-3.1717198496456622,1500.0
-324002.1391350907,4190562.2941038013,-10.505814920006426,1500.0
-324002.1391350907,4191062.116510027,-18.42903130029841,1500.0
-324002.1391350907,4191561.938916253,-26.88505265855518,1500.0
-324002.1391350907,4192061.7613224788,-35.716947108496996,1500.0
-324002.1391350907,4192561.583728705,-44.71251149641866,1500.0
-324002.1391350907,4193061.406134931,-53.72207385755357,1500.0
-324002.1391350907,4193561.2285411567,-62.722140962738244,1500.0
-324002.1391350907,4194061.050947383,-71.66589551231053,1500.0
-324002.1391350907,4194560.873353609,-80.28339992035055,1500.0
-324002.1391350907,4195060.695759835,-88.14597215524728,1500.0
-324002.1391350907,4195560.518166061,-94.99490001864504,1500.0
-324002.1391350907,4196060.340572286,-100.89333697085144,1500.0
-324002.1391350907,4196560.162978513,-106.02830942520319,1500.0
-324002.1391350907,4197059.985384739,-110.61907294326782,1500.0
-324002.1391350907,4197559.807790965,-115.02955990772915,1500.0
-324002.1391350907,4198059.630197191,-119.70808971298342,1500.0
-324002.1391350907,4198559.4526034165,-124.98130360189613,1500.0
-324002.1391350907,4199059.275009642,-130.95464570615258,1500.0
-324002.1391350907,4199559.097415869,-137.52118813749544,1500.0
-324002.1391350907,4200058.919822095,-144.3841638163169,1500.0
-324002.1391350907,4200558.742228321,-151.10694379257822,1500.0
-324002.1391350907,4201058.564634547,-157.2823282391388,1500.0
-324002.1391350907,4201558.3870407725,-162.69356475648027,1500.0
-324002.1391350907,4202058.209446998,-167.24066565679342,1500.0
-324002.1391350907,4202558.031853224,-170.8760960728765,1500.0
-324002.1391350907,4203057.854259451,-173.74162066223207,1500.0
-324002.1391350907,4203557.676665677,-176.1106093999401,1500.0
-324002.1391350907,4204057.499071903,-178.05774721515522,1500.0
-324002.1391350907,4204557.321478128,-179.35348275610602,1500.0
-324002.1391350907,4205057.143884354,-179.7971914031085,1500.0
-324002.1391350907,4205556.96629058,-179.53962407529542,1500.0
-324002.1391350907,4206056.788696807,-178.91089871001736,1500.0
-324002.1391350907,4206556.611103033,-178.09322758124424,1500.0
-324002.1391350907,4207056.433509259,-177.16363730064907,1500.0
-324002.1391350907,4207556.255915484,-176.31705508348966,1500.0
-324002.1391350907,4208056.07832171,-175.81154954894726,1500.0
-324002.1391350907,4208555.900727936,-175.73602402527226,1500.0
-324002.1391350907,4209055.723134162,-175.97516141252066,1500.0
-324002.1391350907,4209555.545540389,-176.35509033826273,1500.0
-324002.1391350907,4210055.3679466145,-176.69270245974144,1500.0
-324002.1391350907,4210555.19035284,-176.78157924142042,1500.0
-324002.1391350907,4211055.012759066,-176.51203114303644,1500.0
-324002.1391350907,4211554.835165292,-175.94610374843919,1500.0
-324002.1391350907,4212054.657571518,-175.16057491788678,1500.0
-324002.1391350907,4212554.479977745,-174.095645192215,1500.0
-324002.1391350907,4213054.3023839705,-172.6492592785353,1500.0
-324002.1391350907,4213554.124790196,-170.8622562421518,1500.0
-324002.1391350907,4214053.947196422,-168.90138235675727,1500.0
-324002.1391350907,4214553.769602648,-166.90162542556644,1500.0
-324002.1391350907,4215053.592008874,-164.92414442612815,1500.0
-324002.1391350907,4215553.4144151,-163.02430875901476,1500.0
-324002.1391350907,4216053.236821326,-161.25924183370145,1500.0
-324002.1391350907,4216553.059227552,-159.63129006935736,1500.0
-324002.1391350907,4217052.881633778,-158.08153022954951,1500.0
